Country Name,Latitude,Longitude,2015
Afghanistan,33.93911,67.709953,51.66994858
Albania,41.153332,20.168331,97.38848114
Algeria,28.033886,1.659626,-1
American Samoa,-14.270972,-170.132217,-1
Andorra,42.546245,1.601554,-1
Angola,-11.202692,17.873887,-1
Antigua and Barbuda,17.060816,-61.796428,108.2302322
Argentina,-38.416097,-63.616672,106.9464722
Armenia,40.069099,45.038189,86.00588989
Aruba,12.52111,-69.968338,-1
Australia,-25.274398,133.775136,157.1676636
Austria,47.516231,14.550072,100.3209991
Azerbaijan,40.143105,47.576927,-1
"Bahamas, The",25.03428,-77.39628,-1
Bahrain,25.930414,50.637772,102.1602402
Bangladesh,23.684994,90.356331,65.62918854
Barbados,13.193887,-59.543198,107.5281219
Belarus,53.709807,27.953389,105.4690018
Belgium,50.503887,4.469936,163.9347229
Belize,17.189877,-88.49765,80.65795135
Benin,9.30769,2.315834,58.8467598
Bermuda,32.321384,-64.75737,76.95237732
Bhutan,27.514162,90.433601,84.01727295
Bolivia,-16.290154,-63.588653,91.36424255
Bosnia and Herzegovina,43.915886,17.679076,-1
Botswana,-22.328474,24.684866,-1
Brazil,-14.235004,-51.92528,100.6081696
British Virgin Islands,18.420695,-64.639968,93.06703186
Brunei Darussalam,4.535277,114.727669,96.41471863
Bulgaria,42.733883,25.48583,102.2722702
Burkina Faso,12.238333,-1.561593,33.71873093
Burundi,-3.373056,29.918886,44.34693146
Cambodia,12.565679,104.990963,-1
Cameroon,7.369722,12.354722,59.03208923
Canada,56.130366,-106.346771,110.3565292
Cape Verde,16.002082,-24.013197,94.72112274
Cayman Islands,19.513469,-80.566956,-1
Central African Republic,6.611111,20.939444,-1
Chad,15.454166,18.732207,22.41506004
Chile,-35.675147,-71.542969,101.7809296
China,35.86166,104.195397,-1
Colombia,4.570868,-74.297333,94.7192688
Comoros,-11.875001,43.872219,-1
"Congo, Dem. Rep.",-4.038333,21.758664,46.16579056
"Congo, Rep.",-0.228021,15.827659,-1
Costa Rica,9.748917,-83.753428,122.7865829
Cote d'Ivoire,7.539989,-5.54708,42.45389175
Croatia,45.1,15.2,98.65386963
Cuba,21.521757,-77.781167,97.89115143
Cyprus,35.126413,33.429859,99.77831268
Czech Republic,49.817492,15.472962,105.0893021
Denmark,56.26392,9.501785,130.2518616
Djibouti,11.825138,42.590275,46.76042175
Dominica,15.414999,-61.370976,94.25424194
